enrollment_number,payment_date,amount,currency,payment_method,transaction_reference,receipt_number,payment_status,payment_type,notes,discount_kind,discount_value_type,discount_value,original_amount,discount_amount,final_amount,is_complete
STU-00001,2026-05-01,100000,UZS,Cash,,RCPT-N-00001,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 4,monthly_discount,fixed,300000,400000,300000,100000,true
STU-00002,2026-05-01,400000,UZS,Cash,,RCPT-N-00002,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 5,,,,,,,
STU-00003,2026-05-01,400000,UZS,Cash,,RCPT-N-00003,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 6,,,,,,,
STU-00004,2026-05-01,400000,UZS,Cash,,RCPT-N-00004,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 7,,,,,,,
STU-00005,2026-04-01,400000,UZS,Cash,,RCPT-N-00005,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 8,,,,,,,
STU-00005,2026-05-01,400000,UZS,Cash,,RCPT-N-00006,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 8,,,,,,,
STU-00006,2026-04-01,265000,UZS,Cash,,RCPT-N-00007,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 9,monthly_discount,fixed,135000,400000,135000,265000,true
STU-00006,2026-05-01,400000,UZS,Cash,,RCPT-N-00008,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 9,,,,,,,
STU-00007,2026-04-01,300000,UZS,Cash,,RCPT-N-00009,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 10,monthly_discount,fixed,100000,400000,100000,300000,true
STU-00007,2026-05-01,400000,UZS,Cash,,RCPT-N-00010,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 10,,,,,,,
STU-00008,2026-04-01,300000,UZS,Cash,,RCPT-N-00011,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 11,monthly_discount,fixed,100000,400000,100000,300000,true
STU-00008,2026-05-01,400000,UZS,Cash,,RCPT-N-00012,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 11,,,,,,,
STU-00010,2026-02-01,300000,UZS,Cash,,RCPT-N-00013,Completed,Tuition,Fevral tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 17,monthly_discount,fixed,100000,400000,100000,300000,true
STU-00010,2026-03-01,400000,UZS,Cash,,RCPT-N-00014,Completed,Tuition,Mart tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 17,,,,,,,
STU-00010,2026-04-01,400000,UZS,Cash,,RCPT-N-00015,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 17,,,,,,,
STU-00010,2026-05-01,400000,UZS,Cash,,RCPT-N-00016,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 17,,,,,,,
STU-00011,2026-02-01,350000,UZS,Cash,,RCPT-N-00017,Completed,Tuition,Fevral tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 18,monthly_discount,fixed,50000,400000,50000,350000,true
STU-00011,2026-03-01,400000,UZS,Cash,,RCPT-N-00018,Completed,Tuition,Mart tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 18,,,,,,,
STU-00011,2026-04-01,400000,UZS,Cash,,RCPT-N-00019,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 18,,,,,,,
STU-00011,2026-05-01,400000,UZS,Cash,,RCPT-N-00020,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 18,,,,,,,
STU-00012,2026-02-01,350000,UZS,Cash,,RCPT-N-00021,Completed,Tuition,Fevral tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 19,monthly_discount,fixed,50000,400000,50000,350000,true
STU-00012,2026-03-01,350000,UZS,Cash,,RCPT-N-00022,Completed,Tuition,Mart tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 19,monthly_discount,fixed,50000,400000,50000,350000,true
STU-00012,2026-04-01,400000,UZS,Cash,,RCPT-N-00023,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 19,,,,,,,
STU-00012,2026-05-01,400000,UZS,Cash,,RCPT-N-00024,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 19,,,,,,,
STU-00013,2026-02-01,150000,UZS,Cash,,RCPT-N-00025,Completed,Tuition,Fevral tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 20,monthly_discount,fixed,250000,400000,250000,150000,true
STU-00013,2026-03-01,400000,UZS,Cash,,RCPT-N-00026,Completed,Tuition,Mart tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 20,,,,,,,
STU-00013,2026-04-01,400000,UZS,Cash,,RCPT-N-00027,Completed,Tuition,Aprel tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 20,,,,,,,
STU-00013,2026-05-01,400000,UZS,Cash,,RCPT-N-00028,Completed,Tuition,May tuition; source: TEMURBEK SCHOOL -  Mirzayev Mirzabek 50% (1).csv line 20,,,,,,,
