room_number,class_name,class_code,day,time,end_time
7-xona,A2 FLYERS afternoon 14:00,TCH-006-A2-FLYERS-AFTERNOON-14-00,Tuesday,14:00,15:30
7-xona,A2 FLYERS afternoon 14:00,TCH-006-A2-FLYERS-AFTERNOON-14-00,Thursday,14:00,15:30
7-xona,B1 Plus 15:30,TCH-006-B1-PLUS-15-30,Tuesday,15:30,17:00
7-xona,B1 Plus 15:30,TCH-006-B1-PLUS-15-30,Thursday,15:30,17:00
7-xona,Starter 15:30,TCH-006-STARTER-15-30,Tuesday,15:30,17:00
7-xona,Starter 15:30,TCH-006-STARTER-15-30,Thursday,15:30,17:00
3-xona,A1 Movers morning 08:00,TCH-011-A1-MOVERS-MORNING-08-00,Monday,08:00,09:30
3-xona,A1 Movers morning 08:00,TCH-011-A1-MOVERS-MORNING-08-00,Wednesday,08:00,09:30
3-xona,A1 Movers morning 08:00,TCH-011-A1-MOVERS-MORNING-08-00,Friday,08:00,09:30
6-xona,Matematika 1 8:00,TCH-013-MATEMATIKA-1-8-00,Wednesday,08:00,09:30
6-xona,Matematika 1 8:00,TCH-013-MATEMATIKA-1-8-00,Saturday,08:00,09:30
6-xona,Matematika 1 8:00,TCH-013-MATEMATIKA-1-8-00,Sunday,08:00,09:30
6-xona,Matematika 10,TCH-013-MATEMATIKA-10,Tuesday,,
6-xona,Matematika 10,TCH-013-MATEMATIKA-10,Thursday,,
6-xona,Matematika 10,TCH-013-MATEMATIKA-10,Saturday,,
6-xona,Matematika 3 16:00,TCH-013-MATEMATIKA-3-16-00,Tuesday,16:00,17:30
6-xona,Matematika 3 16:00,TCH-013-MATEMATIKA-3-16-00,Thursday,16:00,17:30
6-xona,Matematika 3 16:00,TCH-013-MATEMATIKA-3-16-00,Saturday,16:00,17:30
6-xona,Matematika Individual 17:30,TCH-013-MATEMATIKA-INDIVIDUAL-17-30,Tuesday,17:30,19:00
6-xona,Matematika Individual 17:30,TCH-013-MATEMATIKA-INDIVIDUAL-17-30,Thursday,17:30,19:00
6-xona,Matematika Individual 17:30,TCH-013-MATEMATIKA-INDIVIDUAL-17-30,Saturday,17:30,19:00
5-Xona,A2 FLYERS morning 08:00,TCH-015-A2-FLYERS-MORNING-08-00,Monday,08:00,09:30
5-Xona,A2 FLYERS morning 08:00,TCH-015-A2-FLYERS-MORNING-08-00,Wednesday,08:00,09:30
5-Xona,A2 FLYERS morning 08:00,TCH-015-A2-FLYERS-MORNING-08-00,Friday,08:00,09:30
5-Xona,A2 Plus morning 9:30,TCH-015-A2-PLUS-MORNING-9-30,Monday,09:30,11:00
5-Xona,A2 Plus morning 9:30,TCH-015-A2-PLUS-MORNING-9-30,Wednesday,09:30,11:00
5-Xona,A2 Plus morning 9:30,TCH-015-A2-PLUS-MORNING-9-30,Friday,09:30,11:00
5-Xona,A2 flyers morning,TCH-015-A2-FLYERS-MORNING,Tuesday,,
5-Xona,A2 flyers morning,TCH-015-A2-FLYERS-MORNING,Thursday,,
5-Xona,A2 flyers morning,TCH-015-A2-FLYERS-MORNING,Saturday,,
5-Xona,Starter New morning 08:00,TCH-015-STARTER-NEW-MORNING-08-00,Tuesday,08:00,09:30
5-Xona,Starter New morning 08:00,TCH-015-STARTER-NEW-MORNING-08-00,Thursday,08:00,09:30
5-Xona,Starter New morning 08:00,TCH-015-STARTER-NEW-MORNING-08-00,Saturday,08:00,09:30
7-xona,A1 movers morning,TCH-015-A1-MOVERS-MORNING,Monday,,
7-xona,A1 movers morning,TCH-015-A1-MOVERS-MORNING,Wednesday,,
7-xona,A1 movers morning,TCH-015-A1-MOVERS-MORNING,Friday,,
2-guruh,Odiljon ustoz 16:00,TCH-017-ODILJON-USTOZ-16-00,Monday,16:00,17:30
2-guruh,Odiljon ustoz 16:00,TCH-017-ODILJON-USTOZ-16-00,Wednesday,16:00,17:30
2-guruh,Odiljon ustoz 16:00,TCH-017-ODILJON-USTOZ-16-00,Friday,16:00,17:30
1-guruh,Odiljon ustoz 14:00,TCH-017-ODILJON-USTOZ-14-00,Monday,14:00,15:30
1-guruh,Odiljon ustoz 14:00,TCH-017-ODILJON-USTOZ-14-00,Wednesday,14:00,15:30
1-guruh,Odiljon ustoz 14:00,TCH-017-ODILJON-USTOZ-14-00,Friday,14:00,15:30
1-xona,B2 intro,TCH-018-B2-INTRO,Monday,,
1-xona,B2 intro,TCH-018-B2-INTRO,Wednesday,,
1-xona,B2 intro,TCH-018-B2-INTRO,Friday,,
1-xona,B1 intro,TCH-018-B1-INTRO,Tuesday,,
1-xona,B1 intro,TCH-018-B1-INTRO,Thursday,,
1-xona,B1 intro,TCH-018-B1-INTRO,Saturday,,
