class_name,class_code,teacher_employee_id,subject_name,subject_code,total_marks,passing_marks
Koreys tili Afternoon,TCH-001-KOREYS-TILI-AFTERNOON,TCH-001,Koreys tili,KOR-AFT,100,40
Koreys tili TOPIC II,TCH-001-KOREYS-TILI-TOPIC-II,TCH-001,Koreys tili TOPIK II,KOR-TOPIK-II,100,40
Koreys tili TOPIC II new,TCH-001-KOREYS-TILI-TOPIC-II-NEW,TCH-001,Koreys tili TOPIK II New,KOR-TOPIK-II-NEW,100,40
Kids Farangiz,TCH-003-KIDS-FARANGIZ,TCH-003,Kids English,KIDS-FARANGIZ,100,40
A2 flyers,TCH-004-A2-FLYERS,TCH-004,English A2 Flyers,ENG-A2-FLYERS,100,40
A2 Plus new,TCH-004-A2-PLUS-NEW,TCH-004,English A2 Plus,ENG-A2-PLUS-NEW,100,40
Individual,TCH-004-INDIVIDUAL,TCH-004,Individual English,ENG-INDIVIDUAL,100,40
starter,TCH-004-STARTER,TCH-004,Starter English,ENG-STARTER,100,40
A2 plus,TCH-005-A2-PLUS,TCH-005,English A2 Plus,ENG-A2-PLUS,100,40
A1 plus new,TCH-005-A1-PLUS-NEW,TCH-005,English A1 Plus,ENG-A1-PLUS-NEW,100,40
Starter 1,TCH-006-STARTER-1,TCH-006,Starter English 1,ENG-STARTER-1,100,40
Starter 2,TCH-006-STARTER-2,TCH-006,Starter English 2,ENG-STARTER-2,100,40
Grammar special,TCH-006-GRAMMAR-SPECIAL,TCH-006,Grammar,ENG-GRAMMAR-SPECIAL,100,40
B1 plus,TCH-006-B1-PLUS,TCH-006,English B1 Plus,ENG-B1-PLUS,100,40
Kids Farangiz,TCH-007-KIDS-FARANGIZ,TCH-007,Kids English,KIDS-FARANGIZ-2,100,40
Starters New (Fazliyev Ramziddin),TCH-008-STARTERS-NEW-FAZLIYEV-RAMZIDDIN,TCH-008,Starters English,ENG-STARTERS-NEW,100,40
Individual Speaking by Fazliyev,TCH-008-INDIVIDUAL-SPEAKING-BY-FAZLIYEV,TCH-008,Speaking,ENG-SPEAKING-IND,100,40
Kids Zubayda,TCH-009-KIDS-ZUBAYDA,TCH-009,Kids English,KIDS-ZUBAYDA,100,40
Arab tili 1.0 New 60,TCH-010-ARAB-TILI-1-0-NEW-60,TCH-010,Arab tili,ARAB-1-NEW-60,100,40
Arab tili 2,TCH-010-ARAB-TILI-2,TCH-010,Arab tili 2,ARAB-2,100,40
Arab tili 1,TCH-010-ARAB-TILI-1,TCH-010,Arab tili 1,ARAB-1,100,40
KIDS English,TCH-012-KIDS-ENGLISH,TCH-012,Kids English,KIDS-ENGLISH,100,40
KIDS English new morning,TCH-012-KIDS-ENGLISH-NEW-MORNING,TCH-012,Kids English Morning,KIDS-ENGLISH-MORNING,100,40
Matematika 1,TCH-013-MATEMATIKA-1,TCH-013,Matematika,MATH-1,100,40
Matematika 2,TCH-013-MATEMATIKA-2,TCH-013,Matematika,MATH-2,100,40
Matematika 3,TCH-013-MATEMATIKA-3,TCH-013,Matematika,MATH-3,100,40
Turk tili (Shaydo),TCH-014-TURK-TILI-SHAYDO,TCH-014,Turk tili,TURK-SHAYDO,100,40
Rus tili morning Dinora,TCH-015-RUS-TILI-MORNING-DINORA,TCH-015,Rus tili,RUS-MORNING,100,40
Rus tili Afternoon Shoxsanam,TCH-015-RUS-TILI-AFTERNOON-SHOXSANAM,TCH-015,Rus tili,RUS-AFTERNOON,100,40
A1 movers morning,TCH-016-A1-MOVERS-MORNING,TCH-016,English A1 Movers,ENG-A1-MOVERS-MORNING,100,40
Starter teens,TCH-018-STARTER-TEENS,TCH-018,Starter Teens English,ENG-STARTER-TEENS,100,40
Grammatika,TCH-018-GRAMMATIKA,TCH-018,Grammatika,ENG-GRAMMATIKA,100,40
B1 Plus,TCH-018-B1-PLUS,TCH-018,English B1 Plus,ENG-B1-PLUS-2,100,40
